scenario_id,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,time_to_tca_min,miss_distance_km,risk_score,approx_pc,primary_altitude_km,delta_v_budget_mps,action_id,delta_v_mps,time_offset_min,dir_along,dir_against,dir_radial_out,dir_radial_in,dir_none,new_miss_km,new_pc,candidate_score,is_optimal,optimal_action_id,risk_level
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9619251135412968,0.00012591583025569836,0.09619251135412968,1,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,1,0.05,45.0,1.0,0.0,0.0,0.0,0.0,0.8647137776266487,0.00013760534864310897,0.050757092048379145,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,2,0.15,45.0,1.0,0.0,0.0,0.0,0.0,0.7084771722004694,0.00015559749525298063,-0.03629513992281022,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,3,0.3,60.0,1.0,0.0,0.0,0.0,0.0,0.6572062077239617,0.00016114087230213338,-0.14856509351331815,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,4,0.05,45.0,0.0,1.0,0.0,0.0,0.0,1.067389306160374,0.00011313868492264067,0.0710246449017517,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,5,0.15,45.0,0.0,1.0,0.0,0.0,0.0,1.2948783512723117,8.648285847365688e-05,0.022344977984374015,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,6,0.3,60.0,0.0,1.0,0.0,0.0,0.0,1.936873730693863,3.065099123937026e-05,-0.020598341216328003,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,7,0.1,45.0,0.0,0.0,1.0,0.0,0.0,0.8671884830603466,0.00013731080912508635,0.015290276877463219,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,8,0.1,45.0,0.0,0.0,0.0,1.0,0.0,1.1155196022349265,0.0001073492559291962,0.04012338879492121,0,0,high
sc_00042_ba5cbb6f84,0.3149220647597161,0.39470199285610785,-0.8187394909397806,4.387012924940878,-10.852283829335832,-0.5765539946618701,285.4054960166667,0.9619251135412968,0.9807614977291741,0.00012591583025569836,382.61411924180993,2.0,9,0.5,90.0,1.0,0.0,0.0,0.0,0.0,3.455157130352414,5.115851786346088e-07,-0.011627144107615728,0,0,high
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39435408940861094,0.00018502067444867346,0.0039435408940861096,1,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,1,0.05,45.0,1.0,0.0,0.0,0.0,0.0,0.32216981433178254,0.00018986738714279078,-0.032492587570967894,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,2,0.15,45.0,1.0,0.0,0.0,0.0,0.0,0.3312097102035753,0.00018930754597229287,-0.1038307600408214,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,3,0.3,60.0,1.0,0.0,0.0,0.0,0.0,1.0442051407170387,0.00011594195713631943,-0.10986520021401043,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,4,0.05,45.0,0.0,1.0,0.0,0.0,0.0,0.49364653994534813,0.00017704184224036218,-0.030777820314832238,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,5,0.15,45.0,0.0,1.0,0.0,0.0,0.0,0.7275853376295134,0.00015347744623326424,-0.03438432337990581,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,6,0.3,60.0,0.0,1.0,0.0,0.0,0.0,1.2463811294169609,9.197916437303925e-05,-0.08964760134401821,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,7,0.1,45.0,0.0,0.0,1.0,0.0,0.0,0.4963370191079049,0.00017680624457416732,-0.06646520123749239,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,8,0.1,45.0,0.0,0.0,0.0,1.0,0.0,0.458780839976637,0.00018000560061312625,-0.06684076302880507,0,0,critical
sc_00076_510f51c915,0.25112177857611184,0.12987295722000644,0.2749291093009166,1.2170224220939294,2.775590261404287,2.689939816411415,296.0893980166667,0.39435408940861094,0.9921129182118278,0.00018502067444867346,383.15320252774563,2.0,9,0.5,90.0,1.0,0.0,0.0,0.0,0.0,2.9751002323438884,2.3942001108135964e-06,-0.0596328339084683,0,0,critical
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.15487956736629,0.00010265877707292503,0.115487956736629,1,0,high
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,1,0.05,45.0,1.0,0.0,0.0,0.0,0.0,1.1968313088111535,9.771806002129227e-05,0.08396884516682962,0,0,high
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,2,0.15,45.0,1.0,0.0,0.0,0.0,0.0,1.3187387591981805,8.382810716456728e-05,0.024731018776960906,0,0,high
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,3,0.3,60.0,1.0,0.0,0.0,0.0,0.0,2.091448613265498,2.245149953925292e-05,-0.005140852959164499,0,0,high
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,4,0.05,45.0,0.0,1.0,0.0,0.0,0.0,1.1276251365102143,0.00010590174368548131,0.07704822793673571,0,0,high
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,5,0.15,45.0,0.0,1.0,0.0,0.0,0.0,1.1209244913145313,0.00010670247258024269,0.004949591988595986,0,0,high
sc_00093_8159dcf6fa,0.934247360845716,0.5007613580217577,0.45843946839813904,-0.9247231219502654,0.6664055449437474,0.17170447924134805,355.21182419999997,1.15487956736629,0.9769024086526742,0.00010265877707292503,394.4423766733362,2.0,6,0.3,60.0,0.0,1.0,0.0,0.0,0.0,0.7912877658033922,0.00014622996877330347,-0.13515693770537507,0,0,high
