scenario_id,risk_level,orig_miss_km,risk_score,approx_pc,time_to_tca_min,true_action,pred_action_raw,pred_action_final,confidence,pred_miss_km,true_miss_km,pred_dv,true_dv,safe_before_fallback,used_fallback,agreement_raw,agreement_final,fallback_reason
sc_00144_5fbb538964,high,0.2604216281165527,0.9947915674376688,0.0001933130798492,291.6114072,0,0,0,0.9856109680770974,0.2604216281165527,0.2604216281165527,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.260 km)
sc_00416_e08ed7a388,critical,0.2004967208585011,0.99599006558283,0.0001960010298896,30.738685200000003,0,0,0,0.9856109680770974,0.2004967208585011,0.2004967208585011,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.200 km)
sc_00433_4b92ecb329,critical,0.2438411218357858,0.9951231775632844,0.0001941228289874,152.02159936666666,0,0,0,0.9856109680770974,0.2438411218357858,0.2438411218357858,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.244 km)
sc_00569_e7b9b826e7,critical,0.078141994982076,0.9984371601003584,0.000199370437873,294.7359044166667,0,0,0,0.9856109680770974,0.078141994982076,0.078141994982076,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.078 km)
sc_01827_9a45060bc8,high,0.2161666954705573,0.9956766660905888,0.0001953622812786,36.18294406666666,0,0,0,0.9856109680770974,0.2161666954705573,0.2161666954705573,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.216 km)
sc_01895_5f27465c8e,critical,0.3753833929955122,0.9924923321400898,0.000186376360081,140.89423440000002,0,0,0,0.9856109680770974,0.3753833929955122,0.3753833929955122,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.375 km)
sc_02354_00f5d35f78,critical,0.3746823995702789,0.9925063520085944,0.0001864253591457,89.81943096666667,1,0,1,0.9856109680770974,0.3746823995702789,0.5071404274189218,0.0,0.05,0,1,0,1,safety_check_failed (new_miss=0.375 km)
sc_03272_a8842dd7e0,critical,0.3964799788907768,0.9920704004221844,0.0001848652245711,249.42311601666668,0,0,0,0.9856109680770974,0.3964799788907768,0.3964799788907768,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.396 km)
sc_04785_3ba928d290,critical,0.3531108445295701,0.9929377831094086,0.0001878943752236,161.2013301,0,0,0,0.9856109680770974,0.3531108445295701,0.3531108445295701,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.353 km)
sc_05074_36e6c45c1d,critical,0.1535318659126563,0.9969293626817468,0.0001976371024466,339.24012056666663,0,0,0,0.9856109680770974,0.1535318659126563,0.1535318659126563,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.154 km)
sc_05482_2800e8d08d,critical,0.3534597204840886,0.9929308055903182,0.0001878712204695,115.53002571666666,0,0,0,0.9856109680770974,0.3534597204840886,0.3534597204840886,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.353 km)
sc_05703_05ed534faa,critical,0.2791205406086762,0.9944175891878264,0.0001923404787719,121.85099913333332,0,0,0,0.9856109680770974,0.2791205406086762,0.2791205406086762,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.279 km)
sc_07386_057c83a550,high,0.1541534377749412,0.9969169312445012,0.0001976182063373,161.373372,0,0,0,0.9856109680770974,0.1541534377749412,0.1541534377749412,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.154 km)
sc_07522_48a3b0a681,critical,0.1328483742280589,0.9973430325154388,0.0001982232475932,143.56831625,0,0,0,0.9856109680770974,0.1328483742280589,0.1328483742280589,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.133 km)
sc_07709_61cf78e3ed,critical,0.2081541019331813,0.9958369179613364,0.0001956946375529,324.55921325,0,0,0,0.9856109680770974,0.2081541019331813,0.2081541019331813,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.208 km)
sc_07981_8dcf0e6046,critical,0.3518193587501615,0.9929636128249968,0.0001879799163459,220.62118581666667,0,0,0,0.9856109680770974,0.3518193587501615,0.3518193587501615,0.0,0.0,0,1,1,1,safety_check_failed (new_miss=0.352 km)
